"lang","owner","name","total_mocks","qtr_test_files","total_files_com_mocks","razao_mocks"
"JavaScript","ajaxorg","ace","2","75","2","2.67"
"JavaScript","aframevr","aframe","2","87","1","1.15"
"JavaScript","ampproject","amphtml","22","37","3","8.11"
"JavaScript","angular","angular.js","296","129","21","16.28"
"JavaScript","appium","appium","251","114","25","21.93"
"JavaScript","arkime","arkime","213","54","33","61.11"
"JavaScript","atom","atom","11","108","5","4.63"
"JavaScript","aws","aws-sdk-js","405","103","43","41.75"
"JavaScript","bigbluebutton","bigbluebutton","0","35","0","0.0"
"JavaScript","google","blockly","6","91","4","4.4"
"JavaScript","twbs","bootstrap","2","27","1","3.7"
"JavaScript","bootstrap-vue","bootstrap-vue","71","164","29","17.68"
"JavaScript","adobe","brackets","189","112","20","17.86"
"JavaScript","brave","browser-laptop","581","191","93","48.69"
"JavaScript","Budibase","budibase","107","94","20","21.28"
"JavaScript","carbon-design-system","carbon","464","336","127","37.8"
"JavaScript","ccxt","ccxt","0","3","0","0.0"
"JavaScript","CesiumGS","cesium","347","733","55","7.5"
"JavaScript","npm","cli","0","22","0","0.0"
"JavaScript","codemirror","codemirror5","0","47","0","0.0"
"JavaScript","codesandbox","codesandbox-client","25","273","7","2.56"
"JavaScript","spencermountain","compromise","0","225","0","0.0"
"JavaScript","Countly","countly-server","1","44","1","2.27"
"JavaScript","cypress-io","cypress","345","411","38","9.25"
"JavaScript","cytoscape","cytoscape.js","0","2","0","0.0"
"JavaScript","discordjs","discord.js","0","5","0","0.0"
"JavaScript","github","docs","0","6","0","0.0"
"JavaScript","svaarala","duktape","0","10","0","0.0"
"JavaScript","emberjs","ember.js","33","407","5","1.23"
"JavaScript","playcanvas","engine","0","2","0","0.0"
"JavaScript","eslint","eslint","0","4","0","0.0"
"JavaScript","standard-things","esm","0","32","0","0.0"
"JavaScript","ether","etherpad-lite","0","4","0","0.0"
"JavaScript","huluoyang","freecodecamp.cn","0","3","0","0.0"
"JavaScript","gatsbyjs","gatsby","103","56","14","25.0"
"JavaScript","TryGhost","Ghost","746","658","85","12.92"
"JavaScript","grommet","grommet","127","27","15","55.56"
"JavaScript","WordPress","gutenberg","82","199","10","5.03"
"JavaScript","HabitRPG","habitica","5","360","2","0.56"
"JavaScript","handsontable","handsontable","8","562","2","0.36"
"JavaScript","infernojs","inferno","0","23","0","0.0"
"JavaScript","iptv-org","iptv","0","10","0","0.0"
"JavaScript","jquery","jquery","0","5","0","0.0"
"JavaScript","jquery","jquery-ui","0","1","0","0.0"
"JavaScript","ipfs","js-ipfs","4","77","1","1.3"
"JavaScript","jsplumb","jsplumb","0","20","0","0.0"
"JavaScript","keystonejs","keystone-classic","4","55","2","3.64"
"JavaScript","Leaflet","Leaflet","1","47","1","2.13"
"JavaScript","GoogleChrome","lighthouse","770","308","53","17.21"
"JavaScript","lodash","lodash","0","94","0","0.0"
"JavaScript","mapbox","mapbox-gl-js","23","136","7","5.15"
"JavaScript","mui","material-ui","18","397","4","1.01"
"JavaScript","mermaid-js","mermaid","19","76","5","6.58"
"JavaScript","MetaMask","metamask-extension","1238","453","180","39.74"
"JavaScript","meteor","meteor","1","152","1","0.66"
"JavaScript","Automattic","mongoose","1","124","1","0.81"
"JavaScript","vercel","next.js","13","319","3","0.94"
"JavaScript","nodejs","node","3","144","1","0.69"
"JavaScript","node-red","node-red","173","132","14","10.61"
"JavaScript","facebookarchive","nuclide","1327","625","168","26.88"
"JavaScript","nuxt","nuxt.js","801","159","59","37.11"
"JavaScript","nylas","nylas-mail","0","4","0","0.0"
"JavaScript","Tencent","omi","0","34","0","0.0"
"JavaScript","OnsenUI","OnsenUI","0","140","0","0.0"
"JavaScript","openlayers","openlayers","11","215","2","0.93"
"JavaScript","nasa","openmct","465","181","46","25.41"
"JavaScript","overleaf","overleaf","0","96","0","0.0"
"JavaScript","processing","p5.js","0","1","0","0.0"
"JavaScript","paperjs","paper.js","0","1","0","0.0"
"JavaScript","mozilla","pdf.js","0","59","0","0.0"
"JavaScript","plotly","plotly.js","931","142","91","64.08"
"JavaScript","preactjs","preact","0","95","0","0.0"
"JavaScript","prettier","prettier","0","1269","0","0.0"
"JavaScript","quasarframework","quasar","0","39","0","0.0"
"JavaScript","facebook","react","777","272","73","26.84"
"JavaScript","reactioncommerce","reaction","773","310","176","56.77"
"JavaScript","facebook","react-native","781","222","65","29.28"
"JavaScript","ptmt","react-native-macos","313","118","34","28.81"
"JavaScript","rollup","rollup","0","1","0","0.0"
"JavaScript","DIYgod","RSSHub","0","35","0","0.0"
"JavaScript","balderdashy","sails","4","68","1","1.47"
"JavaScript","sandstorm-io","sandstorm","0","3","0","0.0"
"JavaScript","Semantic-Org","Semantic-UI","0","12","0","0.0"
"JavaScript","sequelize","sequelize","0","187","0","0.0"
"JavaScript","serverless","serverless","89","264","31","11.74"
"JavaScript","badges","shields","72","145","26","17.93"
"JavaScript","simple-icons","simple-icons","0","2","0","0.0"
"JavaScript","withspectrum","spectrum","1","48","1","2.08"
"JavaScript","strapi","strapi","1969","490","220","44.9"
"JavaScript","stylelint","stylelint","75","154","12","7.79"
"JavaScript","mrdoob","three.js","2","208","1","0.48"
"JavaScript","Jermolene","TiddlyWiki5","0","2","0","0.0"
"JavaScript","zadam","trilium","0","8","0","0.0"
"JavaScript","gorhill","uBlock","0","1","0","0.0"
"JavaScript","dcloudio","uni-app","12","33","2","6.06"
"JavaScript","transloadit","uppy","200","52","8","15.38"
"JavaScript","vega","vega","0","145","0","0.0"
"JavaScript","FormidableLabs","victory","25","18","9","50.0"
"JavaScript","VulcanJS","Vulcan","8","46","2","4.35"
"JavaScript","webpack","webpack","51","146","5","3.42"
"JavaScript","CodingTrain","website-archive","0","1","0","0.0"
"JavaScript","wekan","wekan","0","15","0","0.0"
"JavaScript","avwo","whistle","0","86","0","0.0"
"JavaScript","Automattic","wp-calypso","9","18","3","16.67"
"JavaScript","YMFE","yapi","4","8","2","25.0"
"JavaScript","zotero","zotero","35","89","2","2.25"
