"lang","owner","name","file","mock","dep","origin"
"lang","owner","name","file","mock","dep","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/update-release.test.js","const scope = nock('https://api.github.com')","'https://api.github.com'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/update-release.test.js","const scope = nock('https://api.github.com')","'https://api.github.com'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/label-pull-requests.test.js","const rest = nock('https://api.github.com')","'https://api.github.com'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/label-pull-requests.test.js","const graphql = nock('https://api.github.com/graphql')","'https://api.github.com/graphql'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/label-pull-requests.test.js","const rest = nock('https://api.github.com')","'https://api.github.com'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/label-pull-requests.test.js","const graphql = nock('https://api.github.com/graphql')","'https://api.github.com/graphql'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/make-release.test.js","const rest = nock('https://api.github.com')","'https://api.github.com'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/make-release.test.js","const graphql = nock('https://api.github.com/graphql')","'https://api.github.com/graphql'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/make-release.test.js","const rest = nock('https://api.github.com')","'https://api.github.com'","externo"
"JavaScript","ampproject","amphtml","../repos/JavaScript/amphtml/build-system/release-tagger/test/make-release.test.js","const graphql = nock('https://api.github.com/graphql')","'https://api.github.com/graphql'","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/relaxed-caps-plugin/test/unit/plugin.spec.js","const mock = sandbox.mock(driver);","driver","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/relaxed-caps-plugin/test/unit/plugin.spec.js","const mock = sandbox.mock(driver);","driver","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/relaxed-caps-plugin/test/unit/plugin.spec.js","const mock = sandbox.mock(driver);","driver","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/relaxed-caps-plugin/test/unit/plugin.spec.js","const mock = sandbox.mock(driver);","driver","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/node-detector.spec.js","S.mocks.NodeDetector = S.sandbox.mock(NodeDetector);","NodeDetector","interno"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","S.mocks.checks = checks.map((check) => S.sandbox.mock(check));","check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","let m = S.sandbox.mock(doctor.toFix[i].check);","doctor.toFix[i].check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","let m = S.sandbox.mock(doctor.toFixOptionals[i].check);","doctor.toFixOptionals[i].check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js",".mock(doctor.toFix[0].check)","doctor.toFix[0].check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js",".mock(doctor.toFixOptionals[0].check)","doctor.toFixOptionals[0].check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","S.mocks.check = S.sandbox.mock(fix.check);","fix.check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","S.mocks.check = S.sandbox.mock(fix.check);","fix.check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","S.mocks.check = S.sandbox.mock(fix.check);","fix.check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","S.mocks.check = S.sandbox.mock(fix.check);","fix.check","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","S.mocks.doctor = S.sandbox.mock(doctor);","doctor","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","S.mocks.doctor = S.sandbox.mock(doctor);","doctor","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/doctor/test/unit/doctor.spec.js","S.mocks.doctor = S.sandbox.mock(doctor);","doctor","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/appium/test/unit/appiumdriver.spec.js","const mockFakeDriver = sandbox.mock(fakeDriver);","fakeDriver","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/appium/test/unit/appiumdriver.spec.js","let mockFakeDrivers = _.map(fakeDrivers, (fd) => sandbox.mock(fd));","fd","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/appium/test/unit/cli/cli.spec.js","npmMock = sandbox.mock(npm);","npm","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/appium/test/e2e/config.e2e.spec.js","mockTp = sandbox.mock(teenProcess);","teenProcess","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/system.spec.js","osMock = sandbox.mock(os);","os","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/system.spec.js","tpMock = sandbox.mock(teen_process);","teen_process","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/system.spec.js","mocks[key] = sandbox.mock(value);","value","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/process.spec.js","let tpMock = sandbox.mock(teenProcess);","teenProcess","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/process.spec.js","let tpMock = sandbox.mock(teenProcess);","teenProcess","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/process.spec.js","let tpMock = sandbox.mock(teenProcess);","teenProcess","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/timing.spec.js","processMock = sandbox.mock(process);","process","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/timing.spec.js","processMock = sandbox.mock(process.hrtime);","process.hrtime","externo"
"JavaScript","appium","appium","../repos/JavaScript/appium/packages/support/test/unit/util.spec.js","let osMock = sandbox.mock(os);","os","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.welcomemessage.test.js","console.warn = jest.fn(); // ignore tooltip warnings","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.welcomemessage.test.js","jest.mock('../src/components/users/UserService');","'../src/components/users/UserService'","interno"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.welcomemessage.test.js","UserService.acknowledgeMsg = jest.fn().mockResolvedValue();","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/settings.notifiers.test.js","jest.mock('../src/components/settings/SettingsService');","'../src/components/settings/SettingsService'","interno"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/settings.notifiers.test.js","SettingsService.deleteNotifier = jest.fn().mockResolvedValue({ text: 'deleteNotifier YAY!' });","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/settings.notifiers.test.js","SettingsService.testNotifier = jest.fn().mockResolvedValue({ text: 'testNotifier YAY!' });","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/settings.notifiers.test.js","SettingsService.getNotifierTypes = jest.fn().mockResolvedValue(notifierTypes);","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/settings.notifiers.test.js","SettingsService.getNotifiers = jest.fn().mockResolvedValue(notifiers);","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/settings.notifiers.test.js","SettingsService.createNotifier = jest.fn().mockResolvedValue({","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/settings.notifiers.test.js","SettingsService.updateNotifier = jest.fn().mockResolvedValue({","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.haspermission.test.js","jest.mock('../src/components/users/UserService');","'../src/components/users/UserService'","interno"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.haspermission.test.js","UserService.hasPermission = jest.fn(() => true);","(","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.haspermission.test.js","jest.mock('../src/components/users/UserService');","'../src/components/users/UserService'","interno"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.haspermission.test.js","UserService.hasPermission = jest.fn(() => false);","(","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.table.test.js","console.info = jest.fn(); // don't display console.info messages","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.table.test.js","const loadFn = jest.fn(() => {});","(","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.table.test.js","const infoFn = jest.fn(() => {});","(","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.table.test.js","jest.mock('../src/components/users/UserService');","'../src/components/users/UserService'","interno"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.table.test.js","UserService.saveState = jest.fn().mockResolvedValue();","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/utils.table.test.js","UserService.getPageConfig = jest.fn().mockResolvedValue({","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/sessions.send.test.js","jest.mock('../src/components/sessions/SessionsService');","'../src/components/sessions/SessionsService'","interno"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/sessions.send.test.js","done: jest.fn(),","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/sessions.send.test.js","SessionsService.send = jest.fn().mockResolvedValue({ text: 'yay!' });","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/sessions.exportcsv.test.js","jest.mock('../src/components/sessions/SessionsService');","'../src/components/sessions/SessionsService'","interno"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/sessions.exportcsv.test.js","done: jest.fn(),","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/sessions.exportcsv.test.js","SessionsService.exportCsv = jest.fn().mockResolvedValue({ text: 'yay!' });","","externo"
"JavaScript","arkime","arkime","../repos/JavaScript/arkime/viewer/vueapp/tests/sessions.remove.test.js","jest.mock('../src/components/sessions/SessionsService');","'../src/components/sessions/SessionsService'","interno"
