"lang","owner","name","total_mocks","qtr_test_files","total_files_com_mocks","razao_mocks"
"Java","Activiti","Activiti","171","582","67","11.51"
"Java","Justson","AgentWeb","0","6","0","0.0"
"Java","shwenzhang","AndResGuard","0","8","0","0.0"
"Java","androidannotations","androidannotations","59","129","15","11.63"
"Java","koush","AndroidAsync","12","42","2","4.76"
"Java","JessYanCoding","AndroidAutoSize","0","6","0","0.0"
"Java","koral--","android-gif-drawable","0","11","0","0.0"
"Java","Bigkoo","Android-PickerView","0","6","0","0.0"
"Java","nostra13","Android-Universal-Image-Loader","0","2","0","0.0"
"Java","Blankj","AndroidUtilCode","0","57","0","0.0"
"Java","antlr","antlr4","0","211","0","0.0"
"Java","iBotPeaches","Apktool","0","39","0","0.0"
"Java","ctripcorp","apollo","372","160","53","33.12"
"Java","arduino","Arduino","0","36","0","0.0"
"Java","alibaba","ARouter","0","13","0","0.0"
"Java","alibaba","arthas","3","47","2","4.26"
"Java","alibaba","atlas","0","32","0","0.0"
"Java","google","auto","16","59","4","6.78"
"Java","CymChad","BaseRecyclerViewAdapterHelper","0","2","0","0.0"
"Java","bazelbuild","bazel","1020","1325","117","8.83"
"Java","facebook","buck","170","1932","23","1.19"
"Java","JakeWharton","butterknife","0","73","0","0.0"
"Java","ben-manes","caffeine","19","116","9","7.76"
"Java","alibaba","canal","3","112","1","0.89"
"Java","apereo","cas","2606","3110","499","16.05"
"Java","dianping","cat","0","168","0","0.0"
"Java","eclipse","che","537","518","85","16.41"
"Java","google","closure-compiler","51","413","7","1.69"
"Java","stanfordnlp","CoreNLP","39","349","3","0.86"
"Java","square","dagger","2","60","2","3.33"
"Java","dbeaver","dbeaver","193","47","9","19.15"
"Java","eclipse","deeplearning4j","180","1208","12","0.99"
"Java","pxb1988","dex2jar","0","38","0","0.0"
"Java","LMAX-Exchange","disruptor","0","69","0","0.0"
"Java","didi","DoraemonKit","0","11","0","0.0"
"Java","DroidPluginTeam","DroidPlugin","0","10","0","0.0"
"Java","dropwizard","dropwizard","323","346","90","26.01"
"Java","alibaba","druid","153","2746","70","2.55"
"Java","apache","dubbo","535","538","106","19.7"
"Java","alibaba","easyexcel","0","51","0","0.0"
"Java","googlesamples","easypermissions","69","8","3","37.5"
"Java","elastic","elasticsearch","10686","8482","1441","16.99"
"Java","airbnb","epoxy","49","78","9","11.54"
"Java","Netflix","eureka","155","98","40","40.82"
"Java","greenrobot","EventBus","0","59","0","0.0"
"Java","google","ExoPlayer","408","225","28","12.44"
"Java","alibaba","fastjson","46","1487","11","0.74"
"Java","lingochamp","FileDownloader","25","9","3","33.33"
"Java","EnterpriseQualityCoding","FizzBuzzEnterpriseEdition","0","2","0","0.0"
"Java","apache","flink","2244","2688","246","9.15"
"Java","YoKeyword","Fragmentation","0","2","0","0.0"
"Java","facebook","fresco","847","199","124","62.31"
"Java","NationalSecurityAgency","ghidra","212","1275","21","1.65"
"Java","bumptech","glide","441","191","83","43.46"
"Java","wasabeef","glide-transformations","0","1","0","0.0"
"Java","gocd","gocd","3044","1321","480","36.34"
"Java","oracle","graal","20","1150","3","0.26"
"Java","Graylog2","graylog2-server","888","540","205","37.96"
"Java","greenrobot","greenDAO","19","85","1","1.18"
"Java","grpc","grpc-java","2114","353","137","38.81"
"Java","google","gson","0","107","0","0.0"
"Java","google","guava","201","1653","39","2.36"
"Java","google","guice","100","164","8","4.88"
"Java","apache","hadoop","7871","3374","789","23.38"
"Java","halo-dev","halo","0","40","0","0.0"
"Java","brettwooldridge","HikariCP","25","45","4","8.89"
"Java","hs-web","hsweb-framework","4","147","4","2.72"
