"lang","owner","name","total_mocks","qtr_test_files","qtr_test_files2","total_files_com_mocks","razao_mocks"
"PHP","dingo","api","41","28","26","15","53.57"
"PHP","webmozart","assert","0","2","3","0","0.0"
"PHP","doctrine","cache","39","23","5","5","21.74"
"PHP","CachetHQ","Cachet","5","127","140","1","0.79"
"PHP","cakephp","cakephp","1221","311","312","118","37.94"
"PHP","briannesbitt","Carbon","3","976","962","1","0.1"
"PHP","bcit-ci","CodeIgniter","12","66","66","8","12.12"
"PHP","sebastianbergmann","comparator","23","14","14","1","7.14"
"PHP","composer","composer","647","113","112","60","53.1"
"PHP","symfony","console","22","55","49","11","20.0"
"PHP","owncloud","core","5443","705","649","458","64.96"
"PHP","symfony","css-selector","0","27","12","0","0.0"
"PHP","tijsverkoyen","CssToInlineStyles","0","6","6","0","0.0"
"PHP","doctrine","dbal","208","187","162","66","35.29"
"PHP","symfony","debug","9","7","7","1","14.29"
"PHP","myclabs","DeepCopy","1","18","18","1","5.56"
"PHP","deployphp","deployer","20","20","19","5","25.0"
"PHP","domnikl","DesignPatternsPHP","7","35","35","3","8.57"
"PHP","sebastianbergmann","diff","0","18","16","0","0.0"
"PHP","directus","directus","772","486","388","125","25.72"
"PHP","dompdf","dompdf","0","4","4","0","0.0"
"PHP","egulias","EmailValidator","14","7","8","2","28.57"
"PHP","Zizaco","entrust","53","6","3","6","100.0"
"PHP","sebastianbergmann","environment","0","3","3","0","0.0"
"PHP","symfony","event-dispatcher","6","7","6","3","42.86"
"PHP","sebastianbergmann","exporter","0","1","1","0","0.0"
"PHP","fzaninotto","Faker","0","131","130","0","0.0"
"PHP","symfony","finder","0","18","20","0","0.0"
"PHP","thephpleague","flysystem","0","3","33","0","0.0"
"PHP","laravel","framework","1463","412","413","157","38.11"
"PHP","sebastianbergmann","global-state","0","4","4","0","0.0"
"PHP","googleapis","google-api-php-client","32","28","2","6","21.43"
"PHP","FriendsOfPHP","Goutte","0","1","1","0","0.0"
"PHP","getgrav","grav","0","16","0","0","0.0"
"PHP","guzzle","guzzle","0","26","25","0","0.0"
"PHP","hamcrest","hamcrest-php","0","55","5","0","0.0"
"PHP","symfony","http-foundation","32","59","61","9","15.25"
"PHP","symfony","http-kernel","177","89","73","40","44.94"
"PHP","Intervention","image","382","68","68","61","89.71"
"PHP","doctrine","instantiator","0","3","3","0","0.0"
"PHP","tymondesigns","jwt-auth","58","26","23","17","65.38"
"PHP","phanan","koel","42","50","52","28","56.0"
"PHP","laravel","laravel","0","2","3","0","0.0"
"PHP","z-song","laravel-admin","0","15","16","0","0.0"
"PHP","Maatwebsite","Laravel-Excel","0","48","49","0","0.0"
"PHP","barryvdh","laravel-ide-helper","16","14","4","13","92.86"
"PHP","spatie","laravel-permission","0","15","15","0","0.0"
"PHP","doctrine","lexer","0","1","1","0","0.0"
"PHP","php-fig","log","1","2","1","1","50.0"
"PHP","laravel","lumen","0","1","2","0","0.0"
"PHP","magento","magento2","36365","6904","5980","4252","61.59"
"PHP","phar-io","manifest","4","35","35","3","8.57"
"PHP","matomo-org","matomo","91","534","526","28","5.24"
"PHP","serbanghita","Mobile-Detect","0","3","3","0","0.0"
"PHP","mockery","mockery","70","44","48","17","38.64"
"PHP","monicahq","monica","13","264","267","4","1.52"
"PHP","Seldaek","monolog","112","85","85","30","35.29"
"PHP","thephpleague","oauth2-server","344","17","17","13","76.47"
"PHP","octobercms","october","3","53","56","2","3.77"
"PHP","opencart","opencart","0","24","13","0","0.0"
"PHP","doctrine","orm","148","400","385","34","8.5"
