lang,owner,name,total_mocks,qtr_test_files,total_files_com_mocks,razao_mocks
Python,aio-libs,aiohttp,107,60,14,23.33
Python,apache,airflow,5606,864,490,56.71
Python,angr,angr,9,103,3,2.91
Python,ansible,ansible,45,186,8,4.3
Python,aws,aws-cli,82,27,8,29.63
Python,ansible,awx,274,212,64,30.19
Python,beetbox,beets,6,70,2,2.86
Python,bokeh,bokeh,24,300,9,3
Python,borgbackup,borg,1,55,1,1.82
Python,boto,boto,2,57,2,3.51
Python,brython-dev,brython,239,465,39,8.39
Python,kovidgoyal,calibre,0,21,0,0
Python,celery,celery,0,101,0,0
Python,certbot,certbot,1048,105,58,55.24
Python,chainer,chainer,34,383,13,3.39
Python,Chia-Network,chia-blockchain,0,139,0,0
Python,conan-io,conan,218,575,33,5.74
Python,cookiecutter,cookiecutter-django,0,7,0,0
Python,home-assistant,core,359,2285,81,3.54
Python,python,cpython,448,749,62,8.28
Python,pyca,cryptography,0,77,0,0
Python,cuckoosandbox,cuckoo,286,26,20,76.92
Python,cupy,cupy,53,245,14,5.71
Python,cython,cython,0,28,0,0
Python,dagster-io,dagster,94,466,29,6.22
Python,plotly,dash,0,95,0,0
Python,dask,dask,3,106,3,2.83
Python,dbt-labs,dbt-core,104,233,14,6.01
Python,deis,deis,1,2,1,50
Python,django,django,345,224,83,37.05
Python,django-cms,django-cms,3,7,3,42.86
Python,django-oscar,django-oscar,48,47,8,17.02
Python,encode,django-rest-framework,16,37,1,2.7
Python,iterative,dvc,4,169,2,1.18
Python,edgedb,edgedb,7,39,3,7.69
Python,openedx,edx-platform,927,706,155,21.95
Python,spesmilo,electrum,71,14,2,14.29
Python,frappe,erpnext,1,253,1,0.4
Python,espnet,espnet,2,199,1,0.5
Python,fail2ban,fail2ban,0,18,0,0
Python,freqtrade,freqtrade,10,62,3,4.84
Python,gevent,gevent,121,201,18,8.96
Python,great-expectations,great_expectations,287,316,47,14.87
Python,HypothesisWorks,hypothesis,3,185,1,0.54
Python,ipython,ipython,10,53,4,7.55
Python,unifyai,ivy,0,21,0,0
Python,google,jax,5,54,2,3.7
Python,davidhalter,jedi,0,46,0,0
Python,jina-ai,jina,0,146,0,0
Python,jupyterhub,jupyterhub,43,31,12,38.71
Python,keras-team,keras,21,10,4,40
Python,kovidgoyal,kitty,0,7,0,0
Python,kivy,kivy,3,54,2,3.7
Python,lbryio,lbry-sdk,13,42,5,11.9
Python,Lightning-AI,lightning,764,308,138,44.81
Python,lutris,lutris,0,13,0,0
Python,mailpile,Mailpile,0,11,0,0
Python,ManimCommunity,manim,0,40,0,0
Python,matplotlib,matplotlib,18,86,3,3.49
Python,mindsdb,mindsdb,4,76,1,1.32
Python,mitmproxy,mitmproxy,57,121,19,15.7
Python,tensorflow,models,12,108,6,5.56
Python,guardicore,monkey,0,161,0,0
Python,mopidy,mopidy,82,50,17,34
Python,spulec,moto,18,363,8,2.2
Python,python,mypy,2,32,1,3.12
Python,netbox-community,netbox,0,3,0,0
Python,networkx,networkx,0,203,0,0
Python,nltk,nltk,0,47,0,0
Python,numba,numba,7,250,1,0.4
Python,numpy,numpy,0,157,0,0
Python,numenta,nupic,2,105,1,0.95
Python,OctoPrint,OctoPrint,168,44,13,29.55
Python,odoo,odoo,6,152,4,2.63
Python,commaai,openpilot,9,62,3,4.84
Python,optuna,optuna,39,90,6,6.67
Python,pandas-dev,pandas,1,852,1,0.12
Python,python-pillow,Pillow,0,131,0,0
Python,pypa,pip,61,104,13,12.5
Python,pypa,pipenv,9,27,2,7.41
Python,platformio,platformio-core,0,14,0,0
Python,plotly,plotly.py,17,112,2,1.79
Python,PrefectHQ,prefect,10,140,4,2.86
Python,giampaolo,psutil,61,17,7,41.18
Python,pyinstaller,pyinstaller,0,52,0,0
Python,pymc-devs,pymc,4,59,3,5.08
Python,microsoft,pyright,0,1,0,0
Python,pytest-dev,pytest,21,128,6,4.69
Python,pyg-team,pytorch_geometric,0,69,0,0
Python,qutebrowser,qutebrowser,8,183,4,2.19
Python,RasaHQ,rasa,10,167,6,3.59
Python,ray-project,ray,24,690,13,1.88
Python,readthedocs,readthedocs.org,421,87,49,56.32
Python,microsoft,recommenders,0,56,0,0
Python,getredash,redash,9,29,4,13.79
Python,reddit-archive,reddit,0,24,0,0
Python,psf,requests,0,7,0,0
Python,robotframework,robotframework,0,105,0,0
Python,saleor,saleor,470,444,92,20.72
Python,saltstack,salt,22,1256,12,0.96
Python,scikit-image,scikit-image,0,88,0,0
Python,scikit-learn,scikit-learn,0,216,0,0
Python,scipy,scipy,0,223,0,0
Python,scrapy,scrapy,54,88,15,17.05
Python,getsentry,sentry,586,638,128,20.06
Python,SigmaHQ,sigma,0,5,0,0
Python,explosion,spaCy,2,229,1,0.44
Python,spyder-ide,spyder,3,165,1,0.61
Python,sqlalchemy,sqlalchemy,159,28,17,60.71
Python,statsmodels,statsmodels,0,169,0,0
Python,streamlit,streamlit,24,106,8,7.55
Python,sympy,sympy,0,2,0,0
Python,matrix-org,synapse,3,112,3,2.68
Python,Theano,Theano,0,90,0,0
Python,huggingface,transformers,20,485,9,1.86
Python,apache,tvm,33,455,7,1.54
Python,saulpw,visidata,0,8,0,0
Python,wagtail,wagtail,75,66,18,27.27
Python,pallets,werkzeug,0,22,0,0
Python,xonsh,xonsh,0,69,0,0
Python,ytdl-org,youtube-dl,0,28,0,0
Python,yt-dlp,yt-dlp,0,26,0,0
Python,quantopian,zipline,0,30,0,0
Python,zulip,zulip,304,113,60,53.1
