antecedents,consequents,antecedent support,consequent support,support,confidence,lift
mockery,phpspec,0.5,0.428571428571429,0.405,0.81,1.889
phpspec,mockery,0.428571428571429,0.5,0.405,0.944,1.889
mockery,phpunit,0.5,1,0.5,1,1
prophecy,mockery,0.428571428571429,0.5,0.405,0.944,1.889
mockery,prophecy,0.5,0.428571428571429,0.405,0.81,1.889
phpspec,phpunit,0.428571428571429,1,0.429,1,1
prophecy,phpspec,0.428571428571429,0.428571428571429,0.429,1,2.333
phpspec,prophecy,0.428571428571429,0.428571428571429,0.429,1,2.333
prophecy,phpunit,0.428571428571429,1,0.429,1,1
vfsstream,phpunit,0.452380952380952,1,0.452,1,1
"phpunit,mockery",phpspec,0.5,0.428571428571429,0.405,0.81,1.889
"phpunit,phpspec",mockery,0.428571428571429,0.5,0.405,0.944,1.889
"mockery,phpspec",phpunit,0.404761904761905,1,0.405,1,1
mockery,"phpunit,phpspec",0.5,0.428571428571429,0.405,0.81,1.889
phpspec,"phpunit,mockery",0.428571428571429,0.5,0.405,0.944,1.889
"prophecy,mockery",phpspec,0.404761904761905,0.428571428571429,0.405,1,2.333
"prophecy,phpspec",mockery,0.428571428571429,0.5,0.405,0.944,1.889
"mockery,phpspec",prophecy,0.404761904761905,0.428571428571429,0.405,1,2.333
prophecy,"mockery,phpspec",0.428571428571429,0.404761904761905,0.405,0.944,2.333
mockery,"prophecy,phpspec",0.5,0.428571428571429,0.405,0.81,1.889
phpspec,"prophecy,mockery",0.428571428571429,0.404761904761905,0.405,0.944,2.333
"phpunit,prophecy",mockery,0.428571428571429,0.5,0.405,0.944,1.889
"phpunit,mockery",prophecy,0.5,0.428571428571429,0.405,0.81,1.889
"prophecy,mockery",phpunit,0.404761904761905,1,0.405,1,1
prophecy,"phpunit,mockery",0.428571428571429,0.5,0.405,0.944,1.889
mockery,"phpunit,prophecy",0.5,0.428571428571429,0.405,0.81,1.889
"phpunit,prophecy",phpspec,0.428571428571429,0.428571428571429,0.429,1,2.333
"phpunit,phpspec",prophecy,0.428571428571429,0.428571428571429,0.429,1,2.333
"prophecy,phpspec",phpunit,0.428571428571429,1,0.429,1,1
prophecy,"phpunit,phpspec",0.428571428571429,0.428571428571429,0.429,1,2.333
phpspec,"phpunit,prophecy",0.428571428571429,0.428571428571429,0.429,1,2.333
"phpunit,mockery,prophecy",phpspec,0.404761904761905,0.428571428571429,0.405,1,2.333
"phpunit,prophecy,phpspec",mockery,0.428571428571429,0.5,0.405,0.944,1.889
"phpunit,mockery,phpspec",prophecy,0.404761904761905,0.428571428571429,0.405,1,2.333
"prophecy,mockery,phpspec",phpunit,0.404761904761905,1,0.405,1,1
"phpunit,prophecy","mockery,phpspec",0.428571428571429,0.404761904761905,0.405,0.944,2.333
"phpunit,mockery","prophecy,phpspec",0.5,0.428571428571429,0.405,0.81,1.889
"phpunit,phpspec","prophecy,mockery",0.428571428571429,0.404761904761905,0.405,0.944,2.333
"prophecy,mockery","phpunit,phpspec",0.404761904761905,0.428571428571429,0.405,1,2.333
"prophecy,phpspec","phpunit,mockery",0.428571428571429,0.5,0.405,0.944,1.889
"mockery,phpspec","phpunit,prophecy",0.404761904761905,0.428571428571429,0.405,1,2.333
prophecy,"phpunit,mockery,phpspec",0.428571428571429,0.404761904761905,0.405,0.944,2.333
mockery,"phpunit,prophecy,phpspec",0.5,0.428571428571429,0.405,0.81,1.889
phpspec,"phpunit,mockery,prophecy",0.428571428571429,0.404761904761905,0.405,0.944,2.333
